2029,-310114,-300757,-291983,-283749,-276134,-269189,-262761,-256944,-251750,-247204,-243280,-239984,-237324,-235326,-233959,-233209,-233101,-233622,-234768,-236551,-239005,-242052,-245782,-250130,-255148,-260851,-999999,-274278,-281980,-290409,-299525,-309391,-319913
-2203,-435723,-415607,-395599,-375921,-356943,-338626,-321312,-305410,-290724,-277522,-265922,-256013,-247885,-241555,-236919,-234123,-233080,-233820,-236318,-240554,-246514,-254150,-263424,-274074,-286379,-299967,-314847,-330788,-347660,-999999,-383997,-403369,-423378
2015,-311630,-302354,-293638,-285475,-277828,-270780,-264339,-258494,-253248,-248695,-244689,-241305,-238545,-236364,-234853,-233974,-233720,-234104,-999999,-236751,-239020,-241927,-245458,-249645,-254488,-259886,-266044,-272801,-280239,-288335,-297047,-306426,-316437
-1361,-320622,-310471,-300853,-291859,-283399,-275646,-268447,-261916,-256047,-250879,-246396,-242605,-239465,-237034,-235272,-234173,-233739,-233938,-234783,-236242,-238342,-241012,-244297,-248189,-252644,-257684,-263271,-269410,-276028,-283200,-290825,-298831,-307316
2025,-312714,-303306,-294447,-286185,-278523,-271443,-265023,-259120,-253859,-249237,-245230,-241846,-239086,-236945,-235475,-234646,-234416,-234824,-235863,-237508,-239844,-242779,-246310,-250543,-255409,-260932,-267142,-999999,-281513,-289693,-298506,-308105,-318318
1103,-293313,-286350,-279731,-273502,-267688,-262347,-257453,-253013,-249035,-245507,-242459,-239861,-237759,-236176,-235077,-234487,-234406,-234839,-235812,-237320,-239365,-241970,-245152,-999999,-253160,-258017,-263430,-269428,-275939,-282896,-290468,-298471,-307032
2085,-315372,-305667,-296497,-288017,-280089,-272745,-266061,-260089,-254673,-249919,-245809,-242321,-999999,-237321,-235791,-234905,-234692,-235143,-236264,-238098,-240599,-243807,-247675,-252196,-257513,-263551,-270326,-277845,-286113,-295059,-304784,-315258,-326318
1998,-395619,-999999,-360478,-343682,-327530,-312434,-298395,-285614,-274027,-263807,-254987,-247719,-241936,-237762,-235113,-234085,-234694,-236927,-240833,-246413,-253635,-262643,-999999,-285753,-299628,-315009,-331622,-349457,-368126,-387511,-407833,-428516,-449124
2018,-303251,-294465,-286281,-278610,-271538,-265068,-259195,-253941,-249308,-245242,-241749,-238882,-236607,-234968,-233889,-233467,-233652,-234461,-235846,-237879,-240511,-243763,-247656,-252182,-257263,-263091,-269575,-276732,-284540,-999999,-302271,-312225,-322993
2604,-486075,-465124,-442301,-418861,-394968,-371971,-349501,-328020,-308158,-290228,-274423,-261015,-250141,-241895,-236383,-233573,-233501,-236218,-241768,-250269,-261681,-275873,-293189,-313351,-336080,-360907,-387215,-414124,-440269,-464997,-486275,-501626,-511112
-864,-243499,-242173,-240934,-239835,-238794,-237855,-237002,-236250,-235566,-234999,-234480,-234060,-233743,-233479,-233295,-233198,-233159,-233210,-233327,-233511,-233770,-234088,-234478,-234930,-235456,-236017,-236641,-237335,-238105,-238921,-239795,-240721,-241707
2590,-485593,-465498,-443710,-420421,-396716,-372833,-349887,-327946,-307702,-289813,-273872,-260391,-249503,-241276,-999999,-233037,-233146,-236120,-241931,-250615,-262273,-276912,-294456,-314861,-337854,-362544,-389037,-415724,-441402,-464986,-485380,-500538,-509645
-610,-237828,-237114,-236450,-999999,-235272,-234764,-234289,-233873,-233478,-233137,-232836,-232569,-232341,-999999,-232018,-231914,-231838,-231786,-231776,-231802,-231866,-231955,-232067,-232206,-232369,-232562,-232783,-233038,-233318,-233598,-233936,-234286,-234658
1978,-405440,-386972,-369046,-351592,-334736,-318850,-999999,-290267,-277827,-266733,-257136,-249068,-242491,-237442,-233972,-232068,-231766,-233081,-236017,-240644,-246893,-254794,-264349,-275526,-288236,-302389,-318069,-999999,-353300,-372283,-392162,-412840,-433749
-798,-242015,-240822,-239721,-238703,-237765,-236933,-236184,-235516,-234938,-234437,-234019,-233667,-233395,-233186,-233080,-233013,-233041,-233136,-233308,-233536,-233827,-234196,-234635,-235109,-235639,-236252,-236903,-237633,-238409,-999999,-240129,-241082,-242066
1072,-289582,-282951,-276693,-270802,-265401,-260287,-255593,-251327,-247468,-244051,-241063,-238532,-236463,-234893,-233789,-233156,-233030,-233380,-234261,-235642,-237521,-239945,-242867,-246361,-250363,-254899,-259957,-265580,-271709,-278486,-285742,-293510,-301766
-831,-241866,-240580,-239381,-238274,-237295,-236383,-235585,-234879,-234276,-233744,-233340,-232980,-232711,-232536,-232431,-232404,-232457,-232586,-232801,-233076,-233438,-233861,-234364,-234916,-235534,-236241,-999999,-237868,-238764,-239716,-240729,-241804,-242917
-1386,-324771,-314140,-304011,-294426,-285488,-999999,-269526,-262569,-256324,-250801,-246008,-241992,-238625,-235993,-234103,-232884,-232410,-232634,-233533,-235124,-237359,-240282,-243814,-247974,-252770,-258152,-264152,-270583,-277678,-285244,-293318,-301846,-310782
-803,-240166,-239031,-238010,-237051,-236192,-235417,-234711,-234087,-233568,-233118,-232731,-232423,-232172,-232009,-231930,-231883,-231928,-232050,-232218,-999999,-232777,-233137,-233587,-234061,-234607,-235181,-235855,-236561,-237326,-238133,-999999,-239933,-240909
-2218,-999999,-423061,-402882,-382471,-362584,-343354,-325114,-308139,-292635,-278764,-266581,-256374,-247828,-241083,-236178,-233116,-231898,-232478,-234843,-239044,-245015,-999999,-262083,-273117,-285735,-299721,-315082,-331317,-348877,-367166,-386325,-406133,-426229
