base_dac_y,base_dac_x,max_cross_x_index,max_cross_y_index,max_cross_x,max_cross_y,fit_x,fit_y
2018,2604,16,15,-233481,-233474,2079,2664
-864,2590,15,16,-233007,-233155,-800.3,2656
-610,1978,16,18,-231779,-231769,-538.7,2041
-798,1072,16,15,-232999,-233005,-737.2,1135
-831,-1386,16,15,-232407,-232412,-771.9,-1321
-803,-2218,16,15,-231888,-231866,-743.6,-2153
-448,-2808,17,16,-231094,-231376,-389.6,-2742
-2292,-2830,16,16,-231914,-231919,-2227,-2764
-2370,-2248,16,17,-231044,-231094,-2303,-2183
-2379,-1436,16,16,-231278,-231262,-2314,-1371
-2372,1005,16,17,-230963,-231027,-2305,1071
-2316,1942,16,16,-231668,-231660,-2252,2007
-2381,2561,16,16,-232087,-232077,-2318,2623
2107,-2705,16,16,-235298,-235291,2170,-2638
2138,-2115,16,15,-235755,-235789,2200,-2049
2043,-1269,16,16,-237916,-237943,2107,-1205
-2.156e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2120,1982,15,15,-234369,-235095,2181,2042
2113,2570,16,16,-233454,-233457,2177,2632
-484,2545,16,16,-233495,-233487,-418.9,2608
-416,1950,16,15,-234894,-234901,-352.8,2012
-777,1084,16,16,-235243,-235241,-711.3,1147
-753,-1315,16,16,-236195,-236198,-687.6,-1249
-275,-2142,16,20,-235441,-235422,-194,-2076
-522,-2723,16,18,-235938,-235893,-449.6,-2657
-2301,-2697,16,17,-233507,-233518,-2234,-2631
-2270,-2107,17,16,-235320,-235497,-2205,-2041
-2356,-1262,NULL,NULL,NULL,NULL,NULL,NULL
-2362,1140,16,16,-232261,-232240,-2297,1203
-2284,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2296,2571,16,16,-233827,-233901,-2230,2631
2120,-2793,16,16,-234508,-234586,2182,-2729
2130,-2207,16,15,-236165,-236240,2192,-2144
2082,-1385,16,16,-236715,-236748,2145,-1321
2163,1056,16,15,-238322,-238406,2225,1119
2175,1961,16,16,-237798,-237791,2239,2024
2187,2575,16,16,-237896,-237908,2252,2636
683,2614,16,15,-236163,-236138,742,2676
629,2011,16,16,-234941,-234938,694.6,2075
572,1148,16,17,-235030,-235023,639.1,1210
-7,-1304,17,25,-235124,-235104,91.24,-1236
426,-2155,16,17,-234369,-234358,493.6,-2091
401,-2753,16,14,-234183,-234183,454,-2687
-2173,-2777,16,16,-233707,-233705,-2108,-2711
-2163,-2187,16,16,-233596,-233641,-2098,-2123
-2206,-1356,16,15,-233438,-233497,-2144,-1291
-2126,1084,16,17,-233021,-233057,-2059,1149
-2110,1977,16,16,-234599,-234634,-2045,2039
-2101,2585,16,16,-235424,-235454,-2038,2653
2118,-2863,16,16,-235335,-235343,2181,-2798
2.222e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2147,-1489,16,16,-237330,-237331,2212,-1425
2078,934,16,16,-235620,-235633,2141,997.1
2173,1904,16,16,-234742,-234711,2238,1967
2190,2537,16,16,-234680,-234673,2254,2599
532,2571,16,17,-236094,-236111,598.7,2635
476,1952,16,14,-236610,-236647,536.8,2015
-528,1028,16,17,-235046,-235076,-461.8,1091
323,-1420,16,18,-234766,-234766,393.6,-1356
-241,-2240,16,10,-234683,-234691,-199,-2175
-223,-2826,16,19,-236902,-236898,-148.1,-2760
-2260,-2846,16,16,-235951,-235969,-2196,-2782
-2259,-2268,16,16,-233574,-233598,-2196,-2202
-2222,-1469,17,16,-234877,-235052,-2158,-1402
-2296,965,16,16,-235331,-235304,-2232,1028
-2197,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2186,2544,16,16,-235385,-235413,-2123,2607
2208,-2694,16,16,-241200,-241277,2270,-2629
2124,-2096,16,15,-244997,-245014,2185,-2030
2115,-1224,16,15,-246136,-246122,2175,-1161
2203,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2200,2022,16,14,-244843,-244947,2258,2086
2191,2611,15,15,-246110,-246190,2252,2672
464,2572,16,15,-239236,-239248,523.8,2634
462,1975,15,15,-238093,-238484,523,2036
496,1108,16,14,-238689,-238709,551.2,1170
-365,-1300,16,10,-237744,-237752,-322.5,-1234
-304,-2141,16,14,-239079,-239091,-248.2,-2075
547,-2728,16,14,-238069,-238083,605.7,-2662
-2188,-2726,16,16,-240927,-240920,-2123,-2660
-2266,-2139,16,16,-238565,-238581,-2203,-2073
-2275,-1299,16,16,-238296,-238286,-2210,-1233
-2191,1110,15,16,-239185,-239373,-2127,1171
-2199,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2205,2570,15,16,-242905,-243074,-2140,2632
2117,-2859,16,16,-237045,-237039,2181,-2796
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2127,934,16,16,-235894,-235890,2191,996.6
2133,1907,16,16,-234953,-235004,2196,1970
2138,2540,16,16,-238042,-238018,2202,2602
380,2515,16,15,-234818,-234843,443.4,2576
353,1875,16,19,-237044,-237034,424.6,1938
301,869,16,17,-236681,-236675,371.7,931.1
-601,-1533,16,17,-236379,-236368,-536.1,-1468
-623,-2311,16,17,-234933,-234916,-554.4,-2245
248,-2881,16,14,-235921,-235872,300.4,-2816
-2215,-2883,16,16,-236535,-236553,-2153,-2818
-2292,-2310,16,16,-237322,-237415,-2226,-2248
-2287,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2204,855,17,16,-233537,-233557,-2139,921.3
-2196,1868,16,16,-235571,-235608,-2131,1933
-2195,2510,16,16,-235057,-235066,-2129,2573
2147,-2737,16,16,-234810,-234848,2211,-2672
2068,-2139,16,15,-233172,-233200,2128,-2073
2060,-1270,16,16,-233551,-233563,2124,-1205
2155,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2148,2020,16,16,-233582,-233546,2212,2082
2151,2616,16,15,-235093,-235136,2213,2678
-269,2647,16,7,-234260,-234261,-243,2710
-287,2060,16,14,-232946,-232959,-232.5,2122
-217,1226,16,20,-235403,-235375,-132.1,1290
-739,-1197,17,15,-233921,-233965,-679,-1130
-738,-2095,16,15,-233166,-233186,-675.4,-2029
-152,-2703,16,0,-237372,-237275,-152,-2638
-2286,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2356,-2135,16,16,-232474,-232480,-2292,-2070
-2361,-1272,17,16,-233406,-233589,-2296,-1205
-2275,1158,16,16,-233115,-233116,-2211,1221
-2282,2015,16,17,-235632,-235607,-2214,2077
-2287,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2138,-2681,16,16,-239474,-239444,2202,-2615
2041,-2092,16,16,-237430,-237464,2103,-2026
2042,-1242,17,16,-239330,-239401,2105,-1175
2128,1136,16,16,-237974,-237974,2192,1198
2126,1978,16,15,-234148,-234208,2187,2041
2117,2563,16,16,-235135,-235129,2181,2626
-182,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-134,2012,16,0,-237204,-237191,-134,2076
-253,1201,16,24,-239085,-239095,-153,1263
-709,-1177,NULL,NULL,NULL,NULL,NULL,NULL
-723,-2052,16,18,-238070,-238062,-653,-1986
153,-2648,16,17,-238449,-238422,220.2,-2583
-2239,-2680,16,16,-244059,-244121,-2173,-2619
-2332,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2334,-1250,16,17,-235781,-235790,-2266,-1185
-2.158e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2255,1969,16,16,-235430,-235458,-2190,2032
-2256,2557,16,17,-235373,-235402,-2189,2620
2128,-2726,16,16,-240607,-240651,2190,-2662
2096,-2130,16,16,-237556,-237552,2160,-2066
2074,-1267,16,16,-241878,-241887,2138,-1202
2136,1149,16,16,-240529,-240550,2199,1212
2203,2008,15,16,-238485,-238498,2267,2070
2198,2605,16,16,-239995,-240001,2262,2667
261,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,2025,16,19,-235636,-235648,361,2087
-502,1179,15,15,-237005,-237176,-440.4,1240
-755,-1238,16,16,-236598,-236581,-691.4,-1173
-689,-2112,16,15,-235451,-235456,-629,-2048
-594,-2712,16,17,-236317,-236297,-522.6,-2648
-2338,-2730,16,16,-234023,-234024,-2275,-2665
-2361,-2135,16,16,-237291,-237293,-2298,-2070
-2380,-1277,16,16,-236031,-236035,-2317,-1213
-2324,1134,16,16,-234172,-234221,-2262,1198
-2261,1997,16,16,-235076,-235074,-2197,2059
-2271,2595,16,16,-236233,-236281,-2206,2657
2114,-2715,16,16,-236322,-236354,2179,-2650
2078,-2118,16,16,-234395,-234437,2144,-2052
2162,-1251,16,16,-234815,-234818,2227,-1185
2059,1159,16,16,-234304,-234266,2122,1222
2144,2008,16,16,-233442,-233431,2208,2072
2136,2603,16,16,-233641,-233657,2201,2665
-288,2629,16,19,-232821,-232835,-212.3,2692
33,2045,16,23,-231953,-231937,122.5,2108
-697,1217,16,17,-233703,-233687,-628.4,1282
249,-1182,16,20,-239207,-239202,327.8,-1117
-609,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-420,-2682,16,8,-237712,-237659,-392.1,-2616
-2278,-2721,16,16,-237815,-237815,-2214,-2657
-2306,-2128,16,16,-236328,-236338,-2242,-2062
-2228,-1273,16,16,-233963,-233957,-2163,-1209
-2328,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2248,1992,16,16,-231826,-231849,-2183,2055
-2259,2588,16,16,-232685,-232755,-2194,2649
2205,-2732,17,16,-235895,-236165,2269,-2666
2120,-2125,16,16,-235736,-235742,2184,-2060
2112,-1249,16,16,-238083,-238103,2175,-1183
2201,1191,16,15,-239938,-240003,2263,1255
2187,2038,16,16,-235088,-235127,2250,2100
2183,2632,16,15,-238051,-238090,2245,2692
6,2596,16,22,-240059,-240043,94.37,2656
154,1990,16,12,-233570,-233593,202.1,2054
278,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-637,-1324,17,17,-235796,-235796,-570.8,-1258
-564,-2173,16,15,-237049,-237080,-504.9,-2107
328,-2769,17,17,-238516,-238752,395.4,-2703
-2264,-2748,16,16,-234293,-234297,-2199,-2681
-2342,-2147,17,16,-236315,-236588,-2278,-2081
-2349,-1288,17,16,-236474,-236601,-2287,-1222
-2274,1149,16,16,-237331,-237384,-2208,1212
-2288,2012,16,17,-240506,-240525,-2222,2075
-2290,2611,16,16,-241614,-241686,-2224,2675
2116,-2864,16,16,-239199,-239147,2180,-2798
2000,-2297,16,16,-240735,-240748,2064,-2232
2073,-1524,16,16,-241600,-241638,2139,-1458
2052,872,16,16,-241343,-241343,2115,937.7
2006,1868,16,16,-239041,-239046,2071,1932
2008,2503,16,16,-240907,-240917,2073,2566
-788,2453,16,17,-237407,-237415,-719.9,2513
-785,1796,17,20,-238476,-239291,-708,1864
-601,718,16,17,-239086,-239086,-531.8,783.5
-490,-1607,16,17,-243033,-243062,-422,-1542
-805,-2353,16,18,-242550,-242512,-733.7,-2287
63,-2909,16,17,-240589,-240560,126.8,-2844
-2244,-2885,16,16,-236284,-236300,-2180,-2820
-2352,-2325,16,17,-235911,-235986,-2286,-2260
-2277,-1567,16,16,-235417,-235438,-2214,-1502
-2302,795,16,16,-234135,-234162,-2238,859.2
-2346,1831,16,17,-234655,-234739,-2280,1893
-2348,2474,15,17,-235848,-236076,-2281,2535
2124,-2739,16,16,-239922,-239939,2188,-2674
2139,-2139,16,15,-241915,-241973,2200,-2075
2155,-1273,16,17,-243159,-243164,2223,-1208
2174,1156,16,16,-243980,-243984,2238,1220
2188,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2164,2610,16,16,-245154,-245117,2228,2673
48,2587,16,13,-244440,-244417,97.71,2648
319,1986,16,15,-243074,-243112,381.7,2049
181,1107,16,20,-242712,-242708,260,1171
-230,-1318,16,21,-241605,-241598,-144.7,-1255
-349,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-506,-2758,16,13,-243510,-243481,-454.8,-2694
-2308,-2737,16,16,-240996,-241032,-2243,-2672
-2292,-2138,16,16,-243605,-243664,-2229,-2073
-2273,-1277,17,16,-243115,-243201,-2208,-1211
-2257,1152,16,17,-246882,-246910,-2191,1214
-2242,2009,16,16,-247671,-247675,-2177,2072
-2268,2605,16,16,-244273,-244304,-2203,2668
2179,-2668,16,16,-242067,-242091,2243,-2602
2140,-2041,16,16,-243250,-243239,2204,-1978
2119,-1086,16,16,-242410,-242457,2182,-1022
2179,1339,16,16,-240537,-240586,2241,1403
2149,2133,16,16,-240692,-240712,2213,2195
2121,2710,16,16,-241294,-241140,2184,2777
51,2725,16,18,-239038,-239043,122.4,2785
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,-1037,16,23,-244901,-244898,177,-971.7
323,-2014,16,16,-244586,-244578,384.7,-1951
501,-2646,16,18,-244138,-244131,575,-2580
-2180,-2684,16,16,-242035,-242046,-2115,-2617
-2217,-2066,16,17,-241546,-241589,-2150,-2003
-2240,-1140,16,17,-240752,-240813,-2174,-1076
-2178,1300,15,16,-238842,-239125,-2112,1361
-2211,2105,16,16,-240128,-240204,-2145,2168
-2245,2686,15,17,-241460,-241916,-2178,2747
2117,-2713,NULL,NULL,NULL,NULL,NULL,NULL
2048,-2114,16,16,-241918,-241921,2112,-2048
2110,-1246,17,16,-242900,-242986,2172,-1180
2073,1159,16,16,-245405,-245380,2138,1224
2177,2011,16,16,-243891,-243880,2240,2073
2188,2605,16,16,-242247,-242234,2252,2669
317,2577,NULL,NULL,NULL,NULL,NULL,NULL
245,1973,16,15,-240098,-240098,298.7,2036
-695,1099,16,17,-242067,-242071,-627.1,1164
-545,-1304,17,17,-240068,-240099,-477.3,-1238
-784,-2147,16,16,-237058,-237049,-721.1,-2081
-549,-2739,16,14,-235970,-235955,-495,-2673
-2313,-2728,16,16,-237595,-237627,-2250,-2662
-2370,-2133,16,16,-239761,-239770,-2306,-2068
-2313,-1282,16,15,-241059,-241128,-2252,-1216
-2348,1120,16,16,-240976,-240981,-2283,1184
-2253,1984,16,16,-239798,-239818,-2189,2048
-2239,2583,16,15,-239601,-239645,-2178,2645
2119,-2740,16,15,-243890,-243856,2180,-2673
2104,-2139,16,16,-243990,-243975,2167,-2074
2108,-1267,16,16,-245875,-245946,2170,-1204
2014,1180,15,15,-242511,-242737,2075,1241
2010,2033,15,16,-243237,-243468,2073,2095
2099,2624,15,15,-241040,-241418,2159,2685
-390,2649,16,15,-241821,-241805,-332.2,2708
-774,2067,15,16,-243360,-244198,-710.9,2127
-757,1236,15,15,-244598,-244791,-695.7,1297
-297,-1206,16,23,-246794,-246788,-208.3,-1141
-302,-2102,16,16,-246882,-246859,-233.1,-2038
-2.131e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2242,-2744,16,16,-240677,-240651,-2177,-2677
