cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101
RECAL 3 0 9999 9999 64 4 80,-481,-251056,-250761,-250520,-250307,-250122,-249953,-249827,-249718,-249647,-249590,-249564,-249549,-249561,-249600,-249654,-249739,-249834,-249945,-250092,-250244,-250419,-250605,-250805,-251041,-251279,-251522,-251789,-252075,-252371,-252673,-252994,-253320,-253658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -438 64 4 80,-2641,-513920,-506230,-492283,-469031,-441812,-412800,-383535,-355909,-330514,-307936,-288621,-272688,-260425,-251909,-247232,-246407,-249438,-256327,-267132,-281860,-300426,-322580,-348977,-379055,-412567,-447486,-479278,-501143,-511233,-516402,-519251,-519467,-520271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2296,-326829,-315959,-305970,-296845,-288618,-281172,-274559,-268774,-263774,-259547,-256113,-253463,-251609,-250551,-250286,-250798,-252126,-254250,-257176,-260885,-265428,-270752,-276864,-283846,-291648,-300269,-309799,-320172,-331506,-343716,-356916,-370860,-386167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2241 64 4 80,-2677,-517929,-514697,-508639,-494789,-473252,-445138,-414623,-384486,-356385,-330928,-308631,-289746,-274386,-262703,-254835,-250627,-250234,-253643,-260919,-272064,-287142,-306112,-329147,-356280,-387339,-422103,-458214,-489463,-507178,-513546,-517225,-519307,-519190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2327,-331960,-320591,-310142,-300595,-291992,-284228,-277382,-271285,-266039,-261626,-258055,-255329,-253435,-252380,-252175,-252781,-254214,-256494,-259607,-263585,-268381,-274045,-280498,-287874,-296035,-305099,-315051,-325877,-337640,-350343,-363946,-378651,-394532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2272 64 4 80,-2092,-488453,-470116,-447391,-423188,-398944,-375523,-353738,-333562,-315430,-299400,-285626,-274134,-265033,-258205,-253783,-251772,-252165,-254951,-260173,-267826,-277865,-290303,-305050,-322192,-341707,-363505,-387632,-413923,-441163,-468214,-490869,-504406,-511379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2328,-330808,-319334,-308798,-299168,-290481,-282615,-275645,-269576,-264277,-259815,-256200,-253439,-251523,-250451,-250215,-250810,-252249,-254513,-257624,-261605,-266433,-272091,-278643,-285946,-294171,-303250,-313239,-324112,-335926,-348668,-362282,-377110,-393088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2273 64 4 80,-1246,-333019,-321459,-310737,-300841,-291838,-283678,-276355,-269902,-264378,-259629,-255740,-252705,-250529,-249190,-248701,-249030,-250202,-252202,-255005,-258631,-263050,-268258,-274246,-280997,-288381,-296550,-305517,-315199,-325576,-336679,-348508,-360929,-374121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2236,-324395,-313993,-304445,-295724,-287865,-280731,-274407,-268848,-264042,-259963,-256662,-254139,-252374,-251386,-251169,-251732,-253015,-255100,-257961,-261583,-266002,-271171,-277105,-283815,-291243,-299418,-308431,-318239,-328903,-340384,-352790,-365998,-380003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2181 64 4 80,1105,-361067,-349251,-337894,-327147,-317007,-307482,-298620,-290516,-283097,-276396,-270463,-265290,-260926,-257279,-254428,-252368,-251141,-250715,-251105,-252335,-254402,-257292,-261019,-265610,-271012,-277274,-284391,-292334,-301022,-310686,-321179,-332561,-344795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2237,-326330,-316178,-306853,-298374,-290722,-283814,-277666,-272272,-267624,-263690,-260523,-258095,-256418,-255494,-255325,-255914,-257231,-259315,-262158,-265767,-270116,-275221,-281079,-287688,-294987,-303085,-311969,-321623,-332125,-343449,-355661,-368714,-382734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2182 64 4 80,1951,-506659,-495905,-478283,-455204,-429957,-404912,-380896,-358646,-338384,-320309,-304210,-290390,-278763,-269437,-262391,-257672,-255285,-255224,-257514,-262163,-269145,-278452,-290059,-303904,-320026,-338222,-358786,-381663,-406761,-433187,-459773,-483661,-500254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2282,-343734,-333553,-324284,-315917,-308350,-301579,-295566,-290341,-285833,-282061,-279049,-276782,-275229,-274439,-274377,-275080,-276510,-278669,-281577,-285241,-289682,-294862,-300804,-307591,-315124,-323451,-332619,-342498,-353323,-365023,-377665,-391399,-406054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2228 64 4 80,2526,-520271,-518914,-519435,-520329,-518093,-514481,-509269,-496764,-472367,-440547,-407537,-376471,-348791,-324593,-304063,-287283,-274197,-264893,-259392,-257588,-259501,-265083,-274280,-287096,-303390,-322992,-346429,-373471,-404218,-437872,-471279,-496497,-509634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2467,-332027,-321954,-312410,-303325,-294788,-286801,-279352,-272443,-266203,-260440,-255322,-250788,-246875,-243579,-240924,-238921,-237546,-236822,-236739,-237305,-238540,-240431,-242973,-246189,-250029,-254592,-259872,-265841,-272503,-279892,-288015,-296811,-306502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2538 64 4 80,-2992,-451198,-424908,-397923,-371386,-346413,-322957,-301736,-282977,-266746,-253172,-242381,-234336,-229127,-226743,-227139,-230370,-236464,-245423,-257196,-271810,-289143,-308831,-330964,-355323,-381415,-408912,-436647,-463205,-485754,-501115,-510013,-514524,-517529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2467,-317543,-307485,-297887,-288846,-280305,-272307,-264903,-258067,-251903,-246293,-241293,-236912,-233164,-230084,-227649,-225877,-224774,-224338,-224554,-225431,-226987,-229217,-232129,-235727,-239992,-244992,-250695,-257110,-264269,-272163,-280795,-290176,-300337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2536 64 4 80,-2329,-370914,-351244,-332491,-314902,-298568,-283701,-270242,-258444,-248079,-239290,-232133,-226649,-222802,-220645,-220161,-221340,-224170,-228635,-234754,-242515,-251883,-262882,-275477,-289410,-304941,-321896,-340150,-359462,-379768,-400773,-422004,-443149,-463326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2368,-310010,-300521,-291562,-283055,-275024,-267546,-260566,-254167,-248347,-243114,-238429,-234330,-230800,-227862,-225517,-223763,-222599,-222031,-222067,-222723,-223982,-225866,-228375,-231508,-235273,-239736,-244854,-250636,-257080,-264239,-272052,-280565,-289655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2438 64 4 80,-1360,-273933,-266495,-259594,-253262,-247501,-242361,-237707,-233619,-230100,-227136,-224733,-222874,-221565,-220802,-220600,-220947,-221830,-223284,-225249,-227761,-230799,-234302,-238387,-242997,-248101,-253694,-259797,-266387,-273422,-280850,-288695,-296897,-305574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
