IL,IL_step,MPO_in,MPO_out,c1,c2,c4,device,RECAL1,mems_SW,sweep_count,peak_ok_count,peak_fail_count,Y_ok,X_ok,verdict,path_files,csv_lines
1.0357,481,MPO41-1,MPO89-1,27,13,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
1.0357,481,MPO41-1,MPO89-1,27,13,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
1.0357,481,MPO41-1,MPO89-1,27,13,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
1.0357,481,MPO41-1,MPO89-1,27,13,59,1#MCS,RECAL 1 3 27 13 13 59,,2,2,0,1,1,OK,pm_pm_mcs1,1047;1048
1.0357,481,MPO41-1,MPO89-1,27,13,59,2#MCS,RECAL 1 4 27 13 13 59,,2,2,0,1,1,OK,pm_pm_mcs2,2343;2344
0.7990,482,MPO41-2,MPO89-2,27,14,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
0.7990,482,MPO41-2,MPO89-2,27,14,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
0.7990,482,MPO41-2,MPO89-2,27,14,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
0.7990,482,MPO41-2,MPO89-2,27,14,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
0.7990,482,MPO41-2,MPO89-2,27,14,59,1#MCS,RECAL 1 3 27 14 14 59,,2,2,0,1,1,OK,pm_pm_mcs1,1049;1050
0.7990,482,MPO41-2,MPO89-2,27,14,59,2#MCS,RECAL 1 4 27 14 14 59,,2,2,0,1,1,OK,pm_pm_mcs2,2345;2346
0.6081,483,MPO41-3,MPO89-3,27,15,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
0.6081,483,MPO41-3,MPO89-3,27,15,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
