line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
1759,RECAL 3 0 9999 -439 200 4 80,0,9999,-439,0,200,4,80,-639.000000,101,0,ParabolaNotDownward,97346.000000,StrictInc,100,-248944.000000,,,,0,
1760,RECAL 3 0 9999 361 200 4 80,0,9999,361,0,200,4,80,161.000000,101,0,ParabolaNotDownward,64071.000000,StrictDec,0,-247912.000000,,,,28,[0]=-247912;[1]=-247968;[2]=-248022;[3]=-248091;[4]=-248145;[5]=-248211;[6]=-248276;[7]=-248341;[8]=-248421;[9]=-248512;[10]=-248591;[11]=-248695;[12]=-248797;[13]=-248879;[14]=-249016;[15]=-249118;[16]=-249251;[17]=-249358;[18]=-249480;[19]=-249615;[20]=-249781;[21]=-249932;[22]=-250084;[23]=-250250;[24]=-250438;[25]=-250617;[26]=-250799;[27]=-250978
1761,RECAL 3 1 9999 -418 64 4 80,1,9999,-418,0,64,4,80,2926.000000,33,1,Ok,232657.000000,NonMono,15,-263346.000000,15.194931,15,2986.779724,5,[13]=-271101;[14]=-265596;[15]=-263346;[16]=-264330;[17]=-268555
1762,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,180.000000,33,0,ParabolaNotDownward,887.000000,Flat,20,-237972.000000,,,,0,
1763,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,44.000000,101,1,Ok,11355.000000,NonMono,54,-237993.000000,54.699454,55,262.797815,55,[27]=-239411;[28]=-239349;[29]=-239255;[30]=-239179;[31]=-239116;[32]=-239040;[33]=-238952;[34]=-238883;[35]=-238833;[36]=-238776;[37]=-238699;[38]=-238627;[39]=-238565;[40]=-238493;[41]=-238443;[42]=-238384;[43]=-238329;[44]=-238279;[45]=-238217;[46]=-238168;[47]=-238135;[48]=-238118;[49]=-238088;[50]=-238056;[51]=-238031;[52]=-238019;[53]=-238004;[54]=-237993;[55]=-238005;[56]=-237995;[57]=-237997;[58]=-238018;[59]=-238056;[60]=-238086;[61]=-238129;[62]=-238181;[63]=-238225;[64]=-238275;[65]=-238350;[66]=-238438;[67]=-238538;[68]=-238642;[69]=-238752;[70]=-238857;[71]=-239002;[72]=-239158;[73]=-239306;[74]=-239471;[75]=-239657;[76]=-239850;[77]=-240057;[78]=-240286;[79]=-240525;[80]=-240767;[81]=-241033
1764,RECAL 3 0 9999 263 64 4 80,0,9999,263,0,64,4,80,199.000000,33,0,ParabolaNotDownward,1009.000000,Flat,16,-237963.000000,,,,0,
1765,RECAL 3 1 9999 261 64 4 80,1,9999,261,0,64,4,80,2321.000000,33,1,Ok,248909.000000,NonMono,15,-237301.000000,15.205447,15,2381.821789,5,[13]=-242820;[14]=-238918;[15]=-237301;[16]=-237978;[17]=-240957
1766,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-624.000000,33,1,Ok,4179.000000,NonMono,14,-237171.000000,14.634169,15,-565.463324,27,[1]=-240434;[2]=-239947;[3]=-239510;[4]=-239108;[5]=-238769;[6]=-238444;[7]=-238148;[8]=-237898;[9]=-237696;[10]=-237529;[11]=-237396;[12]=-237297;[13]=-237224;[14]=-237171;[15]=-237179;[16]=-237209;[17]=-237275;[18]=-237358;[19]=-237470;[20]=-237608;[21]=-237783;[22]=-237989;[23]=-238212;[24]=-238457;[25]=-238739;[26]=-239041;[27]=-239372
1767,RECAL 3 1 9999 -565 64 4 80,1,9999,-565,0,64,4,80,1502.000000,33,1,Ok,140479.000000,NonMono,15,-236992.000000,15.316788,15,1563.267151,7,[12]=-242470;[13]=-239650;[14]=-237832;[15]=-236992;[16]=-237186;[17]=-238390;[18]=-240579
1768,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,446.000000,33,1,Ok,4544.000000,NonMono,14,-237027.000000,14.519993,15,504.079972,17,[6]=-237880;[7]=-237696;[8]=-237528;[9]=-237376;[10]=-237273;[11]=-237189;[12]=-237120;[13]=-237049;[14]=-237027;[15]=-237037;[16]=-237039;[17]=-237103;[18]=-237190;[19]=-237287;[20]=-237433;[21]=-237604;[22]=-237793
1769,RECAL 3 1 9999 504 64 4 80,1,9999,504,0,64,4,80,-1014.000000,33,1,Ok,47141.000000,NonMono,16,-237034.000000,15.974439,16,-950.102246,11,[11]=-241421;[12]=-239804;[13]=-238561;[14]=-237715;[15]=-237208;[16]=-237034;[17]=-237211;[18]=-237733;[19]=-238594;[20]=-239801;[21]=-241357
1770,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,422.000000,33,1,Ok,3268.000000,NonMono,18,-235699.000000,18.260441,18,495.041762,17,[10]=-236419;[11]=-236256;[12]=-236127;[13]=-236007;[14]=-235897;[15]=-235826;[16]=-235758;[17]=-235722;[18]=-235699;[19]=-235702;[20]=-235739;[21]=-235799;[22]=-235874;[23]=-235971;[24]=-236099;[25]=-236262;[26]=-236446
1771,RECAL 3 1 9999 495 64 4 80,1,9999,495,0,64,4,80,-2097.000000,33,1,Ok,206353.000000,NonMono,16,-235686.000000,15.802456,16,-2033.790175,5,[14]=-238384;[15]=-236198;[16]=-235686;[17]=-236857;[18]=-239687
1772,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,532.000000,33,1,Ok,4245.000000,NonMono,17,-243803.000000,17.519727,18,602.078909,29,[3]=-246779;[4]=-246398;[5]=-246056;[6]=-245725;[7]=-245425;[8]=-245124;[9]=-244882;[10]=-244628;[11]=-244418;[12]=-244244;[13]=-244088;[14]=-243991;[15]=-243883;[16]=-243827;[17]=-243803;[18]=-243807;[19]=-243821;[20]=-243887;[21]=-243991;[22]=-244127;[23]=-244298;[24]=-244485;[25]=-244723;[26]=-244997;[27]=-245307;[28]=-245683;[29]=-246068;[30]=-246509;[31]=-246987
1773,RECAL 3 1 9999 602 64 4 80,1,9999,602,0,64,4,80,-2779.000000,33,1,Ok,249939.000000,NonMono,16,-243756.000000,15.974828,16,-2715.100690,5,[14]=-249482;[15]=-245154;[16]=-243756;[17]=-245314;[18]=-249868
1774,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2389.000000,33,1,Ok,79596.000000,NonMono,16,-248554.000000,16.352768,16,-2323.588929,7,[13]=-251800;[14]=-250153;[15]=-249046;[16]=-248554;[17]=-248643;[18]=-249325;[19]=-250594
1775,RECAL 3 1 9999 -2324 64 4 80,1,9999,-2324,0,64,4,80,-2789.000000,33,1,Ok,245978.000000,NonMono,16,-248463.000000,15.880400,16,-2725.478399,5,[14]=-253556;[15]=-249593;[16]=-248463;[17]=-250292;[18]=-254991
1776,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2405.000000,33,1,Ok,80269.000000,NonMono,16,-245525.000000,15.904522,16,-2341.381912,9,[12]=-250208;[13]=-248099;[14]=-246634;[15]=-245763;[16]=-245525;[17]=-245892;[18]=-246856;[19]=-248433;[20]=-250639
