cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 1 -2112 64 4 80,-2777,-269463,-267132,-261932,-249006,-225269,-194730,-163511,-132806,-105513,-82052,-62319,-46280,-33981,-25357,-20374,-19020,-21164,-26839,-36013,-48696,-64952,-84805,-108245,-135043,-165889,-196634,-226591,-249755,-262049,-267040,-269253,-270399,-270789
RECAL 3 0 9999 64 4 80,-2163,-107374,-95082,-83812,-73454,-64013,-55427,-47598,-40657,-34538,-29226,-24726,-21014,-18083,-15947,-14545,-13905,-14026,-14884,-16499,-18860,-21973,-25821,-30366,-35628,-41628,-48381,-55871,-64162,-73228,-82978,-93631,-105170,-117595
RECAL 3 1 -2102 64 4 80,-2187,-240474,-222039,-200122,-178440,-153643,-130090,-108493,-88979,-71567,-56358,-43413,-32769,-24318,-18219,-14433,-12997,-13885,-17114,-22689,-30458,-40672,-53208,-68099,-85309,-104761,-126428,-150276,-175849,-198699,-221438,-240617,-253951,-262039
RECAL 3 0 9999 64 4 80,-2206,-92779,-80847,-69921,-59972,-50996,-42921,-35743,-29426,-24041,-19402,-15571,-12571,-10362,-8956,-8327,-8480,-9415,-11163,-13689,-17012,-21123,-26033,-31751,-38261,-45491,-53631,-62638,-72508,-83231,-94855,-107435,-999999,-135533
RECAL 3 1 -2149 64 4 80,-1356,-120805,-107276,-94527,-82607,-71637,-61377,-52041,-43594,-36066,-29430,-23727,-18909,-15036,-12065,-9932,-8677,-8285,-8748,-10068,-12246,-15219,-19071,-23767,-29297,-35652,-42819,-50810,-59605,-69336,-999999,-91230,-103337,-116227
RECAL 3 0 9999 64 4 80,-2126,-103288,-90809,-79268,-68721,-59211,-50475,-42592,-35584,-29385,-23994,-19405,-999999,-12591,-10351,-8862,-8099,-8061,-8751,-10141,-12260,-15034,-18570,-22809,-27763,-33430,-39816,-46949,-54831,-63543,-73104,-999999,-94620,-106653
RECAL 3 1 -2064 64 4 80,1084,-103009,-93090,-83488,-74339,-65696,-57585,-50022,-43014,-36623,-30819,-25694,-21159,-17253,-13962,-11323,-9312,-7970,-7299,-7299,-7992,-9372,-11486,-14289,-17836,-22131,-27165,-33071,-39765,-47275,-55619,-64785,-74785,-85625
RECAL 3 0 9999 64 4 80,-2110,-101823,-89963,-79031,-69066,-59983,-51763,-44376,-999999,-32078,-27153,-22991,-19561,-16873,-14901,-13653,-13114,-13276,-14131,-15692,-17939,-20892,-24543,-28895,-33949,-39759,-46362,-999999,-61747,-70626,-80264,-90750,-101995,-113984
RECAL 3 1 -2049 64 4 80,1977,-246323,-231245,-213437,-193482,-173687,-151544,-130352,-110555,-92293,-75688,-60908,-48107,-37191,-28169,-21107,-16065,-13055,-12129,-13267,-16562,-22047,-29777,-39759,-52041,-66681,-83729,-103172,-125317,-149952,-176667,-200983,-224641,-243577
RECAL 3 0 9999 64 4 80,-2101,-98809,-88052,-78142,-69101,-60869,-53476,-46932,-41165,-36133,-31816,-28204,-25304,-23097,-21577,-20740,-20573,-21103,-22297,-24175,-26719,-29955,-33862,-38507,-43873,-49970,-56783,-64348,-72638,-81734,-91581,-102124,-113610,-125966
