cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 1 -561 64 4 80,-2711,-283903,-283393,-282842,-281092,-277372,-266641,-245561,-219740,-195186,-175160,-157134,-143207,-133145,-126904,-124355,-125482,-130094,-138150,-149584,-164449,-182223,-201690,-224089,-246968,-265712,-275728,-280316,-282561,-283654,-283554,-283873,-284147,-283991
RECAL 3 0 9999 64 4 80,-2334,-219076,-207590,-197024,-187553,-179581,-171361,-163952,-157408,-151800,-146889,-142771,-139435,-136880,-135087,-134090,-133822,-134328,-135581,-137540,-140268,-143723,-147905,-152826,-158529,-164951,-172212,-180122,-187843,-196946,-207006,-217740,-228946,-240592
RECAL 3 1 -2275 64 4 80,-2740,-283839,-283948,-283666,-282554,-280094,-272888,-255094,-230022,-204969,-183921,-165909,-151216,-140359,-133273,-129917,-130057,-133734,-140978,-151662,-165846,-183049,-202496,-225084,-247997,-266867,-276632,-280879,-283168,-283431,-283857,-284235,-284305,-284120
RECAL 3 0 9999 64 4 80,-2405,-214938,-202147,-190798,-181242,-171661,-162849,-154964,-148064,-142084,-136987,-132809,-129432,-126892,-125188,-124348,-124332,-125162,-126831,-129329,-132709,-136923,-141992,-147925,-154739,-162487,-171090,-180375,-189544,-200317,-211991,-224501,-237329,-249635
RECAL 3 1 -2347 64 4 80,-2144,-280654,-277084,-270566,-257084,-238312,-218241,-198844,-182261,-166792,-153516,-142445,-133704,-127294,-123127,-121283,-121674,-124260,-129182,-136297,-145642,-157155,-170855,-185747,-202362,-220803,-239403,-256876,-269105,-276227,-279990,-281928,-282804,-283223
RECAL 3 0 9999 64 4 80,-2318,-214843,-201780,-189915,-179895,-169832,-160559,-152246,-144928,-138514,-133021,-128412,-124643,-121772,-119768,-118571,-118180,-118574,-119727,-121704,-124422,-127896,-132160,-137214,-143044,-149673,-157082,-165339,-174461,-183796,-193660,-204928,-216956,-229493
RECAL 3 1 -2258 64 4 80,-1288,-203631,-192190,-182364,-172654,-163257,-154713,-147125,-140398,-134518,-129558,-125402,-122155,-119750,-118165,-117375,-117384,-118187,-119767,-122133,-125215,-129145,-133769,-139167,-145306,-152101,-159670,-167888,-177028,-185746,-195233,-205728,-216520,-227662
RECAL 3 0 9999 64 4 80,-2332,-205067,-192345,-181621,-170837,-160959,-152037,-144163,-137221,-131365,-126268,-122046,-118745,-116308,-114733,-113997,-114119,-999999,-116746,-119236,-122532,-126660,-131545,-137215,-143686,-150814,-158943,-167846,-177684,-187090,-197869,-209673,-222164,-235045
RECAL 3 1 -2274 64 4 80,1140,-208206,-197782,-187948,-179440,-170257,-161648,-153681,-146462,-139934,-134088,-128982,-124550,-120955,-118100,-115977,-114600,-113970,-114101,-115013,-116679,-119171,-122421,-126564,-131486,-137207,-143756,-151140,-159390,-168617,-178695,-188268,-199278,-211132
RECAL 3 0 9999 64 4 80,-2309,-202174,-190278,-180432,-170181,-160760,-152370,-144951,-138411,-132757,-127984,-124081,-121053,-118814,-117364,-116720,-116838,-117733,-119392,-121783,-124970,-128945,-133640,-139147,-145420,-152459,-160324,-169102,-178761,-187980,-198827,-210478,-222847,-235470
RECAL 3 1 -2252 64 4 80,2007,-282351,-280981,-278820,-274270,-265739,-251574,-233650,-214788,-196443,-180675,-165300,-151939,-140569,-131313,-124187,-119303,-116655,-116246,-118133,-122296,-128765,-137525,-148649,-162190,-178179,-194710,-214288,-234543,-254022,-268581,-276360,-280158,-282108
RECAL 3 0 9999 64 4 80,-2305,-210543,-198881,-188185,-179085,-169715,-161241,-153670,-147017,-141149,-136173,-132009,-128619,-125969,-124037,-122871,-122483,-122796,-123858,-125687,-128192,-131445,-135418,-140155,-145630,-151840,-158959,-166951,-175727,-184533,-194051,-204887,-216468,-228467
RECAL 3 1 -2245 64 4 80,2604,-284190,-283863,-283936,-283475,-282997,-281526,-278417,-270606,-254529,-231426,-207531,-186027,-167440,-151103,-138042,-128484,-122399,-119935,-121107,-125996,-134669,-146948,-163410,-183382,-206172,-232712,-258362,-274158,-280176,-282465,-283673,-283837,-283933
RECAL 3 0 9999 64 4 80,2356,-231863,-220626,-209559,-199045,-189240,-180794,-172045,-163852,-156446,-149838,-144041,-139009,-134775,-131317,-128658,-126791,-125726,-125472,-126034,-127410,-129656,-132722,-136665,-141458,-147142,-153711,-161219,-169590,-178934,-188007,-198564,-210213,-222516
RECAL 3 1 2423 64 4 80,-2855,-283315,-282363,-280755,-276928,-269051,-253454,-231891,-209300,-188169,-170043,-153850,-140667,-130770,-124245,-121142,-121491,-125264,-132540,-143229,-157321,-174981,-194106,-217176,-241187,-262279,-274623,-279618,-282166,-283558,-283740,-284293,-283995,-284071
RECAL 3 0 9999 64 4 80,2259,-218555,-207598,-197213,-187584,-179237,-170400,-162153,-154601,-147792,-141695,-136271,-131599,-127686,-124433,-121951,-120208,-119216,-119021,-119585,-120912,-123044,-125997,-129764,-134345,-139783,-146121,-153218,-161242,-170063,-179741,-188999,-199805,-211423
RECAL 3 1 2326 64 4 80,-2225,-276672,-270638,-259724,-244301,-226972,-209032,-191985,-177414,-162872,-150297,-139679,-131103,-124517,-120089,-117654,-117293,-119012,-122803,-128764,-136749,-146828,-158932,-173115,-187961,-205046,-223740,-242493,-259387,-271126,-277279,-280352,-282452,-283251
RECAL 3 0 9999 64 4 80,2244,-210268,-199410,-189249,-180408,-171105,-999999,-154339,-147095,-140553,-134688,-129563,-125103,-121399,-118415,-116181,-114691,-113939,-113954,-114711,-116251,-118559,-121645,-125569,-130241,-135746,-142125,-149296,-157375,-166299,-176140,-185717,-196169,-207778
RECAL 3 1 2310 64 4 80,-1302,-193504,-184111,-175206,-166126,-157790,-150233,-143442,-137272,-131826,-127105,-123051,-119769,-117173,-115304,-114142,-113662,-999999,-114703,-116215,-118415,-121288,-124793,-128953,-133761,-139236,-145320,-151970,-159331,-167234,-175837,-184181,-192932,-202733
RECAL 3 0 9999 64 4 80,2321,-221261,-209982,-198967,-188772,-179820,-170357,-161516,-153383,-146003,-139373,-133526,-128462,-124181,-120727,-118062,-116216,-115188,-114968,-115589,-117044,-119305,-122412,-126402,-131214,-136896,-143457,-150856,-159217,-168309,-178457,-188153,-199365,-211492
RECAL 3 1 2388 64 4 80,1250,-213030,-202306,-192095,-183046,-174158,-165200,-157016,-149512,-142833,-136723,-131368,-126752,-122826,-119719,-117352,-115753,-114937,-114877,-115600,-117088,-119361,-122440,-126379,-131090,-136555,-142898,-150051,-158049,-166828,-176458,-185750,-196075,-207354
RECAL 3 0 9999 64 4 80,2302,-214437,-203526,-193091,-183863,-174920,-165948,-157712,-150210,-143469,-999999,-132023,-127421,-123510,-120401,-118096,-116560,-115819,-115876,-116740,-118414,-120922,-124264,-128465,-133487,-139332,-146015,-153515,-161929,-171215,-181187,-190937,-202244,-214383
RECAL 3 1 2368 64 4 80,2142,-282820,-281431,-279054,-274079,-264849,-249468,-230648,-211384,-193148,-177839,-162470,-149295,-138282,-129405,-122647,-118092,-115723,-115542,-117488,-121564,-127817,-136205,-146747,-159429,-174330,-189424,-207066,-225820,-244041,-260234,-270982,-277069,-280254
RECAL 3 0 9999 64 4 80,2273,-222340,-211631,-201327,-191626,-183169,-174825,-166510,-158904,-152038,-145817,-140308,-135456,-131323,-127862,-125102,-123069,-121798,-121221,-121398,-122309,-124039,-126565,-129869,-133951,-138812,-144551,-151105,-158510,-166802,-175992,-185080,-195056,-206170
RECAL 3 1 2342 64 4 80,2762,-284068,-284175,-284290,-283699,-283124,-281614,-278243,-270418,-253826,-230312,-206320,-184874,-165908,-149548,-136783,-127227,-121150,-118582,-119495,-123930,-131907,-143376,-158218,-176467,-195916,-218851,-242308,-262452,-273962,-279623,-281796,-282870,-283896
RECAL 3 0 9999 64 4 80,-23,-128953,-128958,-128966,-128969,-129004,-129028,-129050,-129029,-129013,-129012,-129017,-129017,-129027,-129028,-129032,-129051,-129061,-129068,-129076,-129101,-129122,-129138,-129185,-129198,-129228,-129227,-129259,-129290,-129323,-129354,-129392,-129437,-129489
