line_no,cmd,sweep_mode,base_dac,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
1549,RECAL 3 1 2219 64 4 80,1,2219,64,4,80,-2163.000000,33,1,Ok,227701.000000,NonMono,16,-18847.000000,15.376969,15,-2101.492125,33,[0]=-237622;[1]=-220604;[2]=-201443;[3]=-182249;[4]=-160518;[5]=-138858;[6]=-118249;[7]=-99044;[8]=-81612;[9]=-66058;[10]=-52602;[11]=-41362;[12]=-32334;[13]=-25639;[14]=-21116;[15]=-18879;[16]=-18847;[17]=-21017;[18]=-25405;[19]=-31955;[20]=-40632;[21]=-51432;[22]=-64365;[23]=-79347;[24]=-96189;[25]=-114853;[26]=-135019;[27]=-156385;[28]=-178332;[29]=-196967;[30]=-215898;[31]=-232426;[32]=-246548
1550,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2152.000000,33,1,Ok,115072.000000,NonMono,17,-19577.000000,16.868416,17,2219.473664,31,[2]=-109198;[3]=-97635;[4]=-86886;[5]=-76858;[6]=-67788;[7]=-59355;[8]=-51713;[9]=-44865;[10]=-38854;[11]=-33641;[12]=-29250;[13]=-25666;[14]=-22906;[15]=-20948;[16]=-19846;[17]=-19577;[18]=-20155;[19]=-21585;[20]=-23885;[21]=-27055;[22]=-31033;[23]=-35949;[24]=-41792;[25]=-48584;[26]=-56339;[27]=-65085;[28]=-74879;[29]=-85749;[30]=-97695;[31]=-110873;[32]=-125256
1551,RECAL 3 1 2219 64 4 80,1,2219,64,4,80,-1298.000000,33,1,Ok,98449.000000,NonMono,16,-19565.000000,15.846753,16,-1234.612987,33,[0]=-118014;[1]=-106458;[2]=-95482;[3]=-85131;[4]=-75406;[5]=-66490;[6]=-58223;[7]=-50739;[8]=-44041;[9]=-38174;[10]=-33097;[11]=-28828;[12]=-25366;[13]=-22724;[14]=-20872;[15]=-19822;[16]=-19565;[17]=-20091;[18]=-21400;[19]=-23501;[20]=-26355;[21]=-29943;[22]=-34334;[23]=-39462;[24]=-45318;[25]=-51933;[26]=-59245;[27]=-67234;[28]=-75902;[29]=-85227;[30]=-95145;[31]=-105686;[32]=-116745
1552,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2177.000000,33,1,Ok,112671.000000,NonMono,17,-24077.000000,16.545488,17,2243.181953,31,[2]=-111413;[3]=-99910;[4]=-89232;[5]=-79278;[6]=-70144;[7]=-61810;[8]=-54301;[9]=-47602;[10]=-41749;[11]=-36721;[12]=-32513;[13]=-29135;[14]=-26605;[15]=-24911;[16]=-24087;[17]=-24077;[18]=-24923;[19]=-26640;[20]=-29237;[21]=-32732;[22]=-37126;[23]=-42437;[24]=-48713;[25]=-55925;[26]=-64127;[27]=-73338;[28]=-83627;[29]=-94947;[30]=-107468;[31]=-121208;[32]=-135997
1553,RECAL 3 1 2243 64 4 80,1,2243,64,4,80,1151.000000,33,1,Ok,105491.000000,NonMono,18,-22996.000000,17.632057,18,1221.528227,28,[4]=-89062;[5]=-80233;[6]=-71938;[7]=-64173;[8]=-57027;[9]=-50517;[10]=-44645;[11]=-39440;[12]=-34918;[13]=-31098;[14]=-27974;[15]=-25598;[16]=-23967;[17]=-23099;[18]=-22996;[19]=-23673;[20]=-25140;[21]=-27429;[22]=-30534;[23]=-34448;[25]=-44837;[26]=-51370;[27]=-58756;[28]=-67003;[29]=-76160;[30]=-86157;[31]=-96963;[32]=-108675
1554,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2235.000000,33,1,Ok,116286.000000,NonMono,17,-21738.000000,16.658309,17,2301.633236,31,[2]=-112019;[3]=-100139;[4]=-89110;[5]=-78871;[6]=-69476;[7]=-60893;[8]=-53186;[9]=-46299;[10]=-40261;[11]=-35074;[12]=-30735;[13]=-27235;[14]=-24565;[15]=-22771;[16]=-21826;[17]=-21738;[18]=-22502;[19]=-24149;[20]=-26696;[21]=-30133;[22]=-34506;[23]=-39799;[24]=-46064;[25]=-53312;[26]=-61587;[27]=-70951;[28]=-81370;[29]=-92897;[30]=-105660;[31]=-119733;[32]=-135202
1555,RECAL 3 1 2302 64 4 80,1,2302,64,4,80,2023.000000,33,1,Ok,232702.000000,NonMono,18,-19139.000000,17.356794,17,2092.427175,29,[4]=-187173;[5]=-168604;[6]=-148696;[7]=-129661;[8]=-111386;[9]=-94278;[10]=-78569;[11]=-64373;[12]=-51913;[13]=-41325;[14]=-32709;[15]=-26138;[16]=-21664;[17]=-19309;[18]=-19139;[19]=-21169;[20]=-25507;[21]=-32179;[22]=-41245;[23]=-52569;[24]=-66486;[25]=-82914;[26]=-101679;[27]=-122822;[28]=-146213;[29]=-171255;[30]=-193982;[31]=-215904;[32]=-234240
1556,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2264.000000,33,1,Ok,113595.000000,NonMono,17,-33786.000000,16.721724,17,2330.886898,30,[2]=-121311;[3]=-109639;[4]=-98859;[5]=-88978;[6]=-79871;[7]=-71632;[8]=-64195;[9]=-57587;[10]=-51877;[11]=-46882;[12]=-42682;[13]=-39288;[14]=-36706;[15]=-34929;[16]=-33951;[17]=-33786;[18]=-34455;[19]=-35955;[21]=-41437;[22]=-45488;[23]=-50376;[24]=-56165;[25]=-62864;[26]=-70353;[27]=-78887;[28]=-88451;[29]=-98977;[30]=-110633;[31]=-123458;[32]=-137511
1557,RECAL 3 1 2331 64 4 80,1,2331,64,4,80,2634.000000,33,1,Ok,240849.000000,NonMono,18,-29607.000000,16.749363,17,2700.997453,29,[4]=-252392;[5]=-235489;[6]=-214574;[7]=-191763;[8]=-168554;[9]=-143669;[10]=-120385;[11]=-99158;[12]=-80335;[13]=-64120;[14]=-50958;[15]=-40699;[16]=-33676;[17]=-29945;[18]=-29607;[19]=-32739;[20]=-39480;[21]=-49900;[22]=-64186;[23]=-82367;[24]=-104741;[25]=-131492;[26]=-162955;[27]=-195746;[28]=-228446;[29]=-252787;[30]=-263337;[31]=-267053;[32]=-268665
1558,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,722.000000,33,1,Ok,11521.000000,NonMono,16,-28356.000000,15.787814,16,785.151257,32,[0]=-37249;[1]=-36214;[2]=-35229;[3]=-34303;[4]=-33435;[5]=-32640;[6]=-31907;[7]=-31235;[8]=-30635;[9]=-30100;[10]=-29633;[11]=-29233;[12]=-28913;[13]=-28656;[14]=-28482;[15]=-28382;[16]=-28356;[17]=-28416;[18]=-28548;[19]=-28766;[21]=-29455;[22]=-29938;[23]=-30506;[24]=-31168;[25]=-31918;[26]=-32764;[27]=-33703;[28]=-34728;[29]=-35855;[30]=-37102;[31]=-38440;[32]=-39877
